Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,766440796,9833.046731421768,342773,4.397603761255987,2092,6932591,88.94162684006446,3574,0.04585260753539193,12,
United States of America,Americas,103436829,31249.547,93260,28.175,0,1127152,340.527,1943,0.587,0
China,Western Pacific,99256991,6746.27,3658,0.249,0,121073,8.229,47,0.003,0
India,South-East Asia,44983152,3259.638,8243,0.597,1021,531794,38.536,72,0.005,4
France,Europe,38989402,59947.396,27260,41.913,0,163279,251.046,108,0.166,0
Germany,Europe,38418899,46195.044,4037,4.854,0,173834,209.019,20,0.024,0
Brazil,Americas,37511921,17647.734,23950,11.267,0,702116,330.315,283,0.133,0
Japan,Western Pacific,33803572,26727.165,833,0.659,0,74694,59.058,25,0.02,0
Republic of Korea,Western Pacific,31415280,61275.169,84493,164.803,0,34610,67.506,39,0.076,0
Italy,Europe,25828252,43305.848,5574,9.346,0,190080,318.704,43,0.072,0
The United Kingdom,Europe,24603076,36241.75,2093,3.083,0,225324,331.915,0,0,0
Russian Federation,Europe,22900755,15692.493,13918,9.537,0,398736,273.23,130,0.089,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13845825,29252.188,0,0,0,120964,255.562,0,0,0
Viet Nam,Western Pacific,11590617,11907.526,10557,10.846,0,43201,44.382,4,0.004,0
Australia,Western Pacific,11299954,44313.747,0,0,0,20553,80.6,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7610676,9061.089,343,0.408,0,146204,174.067,16,0.019,0
Mexico,Americas,7603871,5897.548,8297,6.435,0,334013,259.06,53,0.041,0
Indonesia,South-East Asia,6799760,2485.986,6871,2.512,1024,161646,59.098,120,0.044,8
Poland,Europe,6515812,17165.784,622,1.639,0,119590,315.058,16,0.042,0
Colombia,Americas,6365994,12511.07,732,1.439,0,142727,280.501,5,0.01,0
Austria,Europe,6072229,68219.136,2254,25.323,0,22478,252.532,4,0.045,0
Greece,Europe,6044517,56392.969,0,0,0,36863,343.917,0,0,0
Portugal,Europe,5584388,54238.902,676,6.566,0,26668,259.015,10,0.097,0
Ukraine,Europe,5544969,12678.922,0,0,0,112271,256.715,0,0,0
Chile,Americas,5285311,27648.333,4,0.021,0,61437,321.387,0,0,0
Malaysia,Western Pacific,5079436,15693.741,0,0,0,37028,114.404,0,0,0
Israel,Europe,4824551,55739.451,616,7.117,0,12509,144.52,2,0.023,0
Belgium,Europe,4797108,41632.744,182,1.58,0,34298,297.663,1,0.009,0
Thailand,South-East Asia,4736356,6785.612,2356,3.375,0,33989,48.695,22,0.032,0
Canada,Americas,4669364,12371.748,3878,10.275,0,52301,138.574,70,0.185,0
Czechia,Europe,4641431,43402.445,367,3.432,0,42789,400.124,4,0.037,0
Peru,Americas,4505220,13663.836,1998,6.06,0,220516,668.801,320,0.971,0
Switzerland,Europe,4404327,50889.906,0,0,0,14008,161.856,0,0,0
Philippines,Western Pacific,4115202,3755.395,9704,8.856,0,66453,60.643,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3413017,58615.077,487,8.364,0,8643,148.435,37,0.635,0
Romania,Europe,3399977,17590.178,2612,13.513,0,68143,352.546,26,0.135,0
Sweden,Europe,2708122,26222.209,0,0,0,24166,233.995,0,0,0
Serbia,Europe,2538899,36653.777,1319,19.042,0,18040,260.441,10,0.144,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2414394,41269.28,0,0,0,1722,29.434,0,0,0
New Zealand,Western Pacific,2282861,47340.33,10632,220.479,0,2792,57.898,0,0,0
Hungary,Europe,2202179,22541.309,0,0,0,48775,499.257,0,0,0
Bangladesh,South-East Asia,2038539,1237.808,133,0.081,22,29446,17.88,0,0,0
Slovakia,Europe,1866745,34202.793,98,1.796,0,21167,387.825,0,0,0
Georgia,Europe,1842046,46176.114,0,0,0,17070,427.908,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1711233,34469.809,120,2.417,0,8905,179.376,39,0.786,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Norway,Europe,1484030,27648.028,246,4.583,0,5495,102.374,0,0,0
Finland,Europe,1477021,26731.999,209,3.783,0,9492,171.792,0,0,0
Slovenia,Europe,1343721,64113.078,0,0,0,9317,444.543,0,0,0
Lithuania,Europe,1319639,47229.653,405,14.495,0,9673,346.195,1,0.036,0
Bulgaria,Europe,1306103,18788.842,583,8.387,0,38356,551.767,11,0.158,0
Morocco,Eastern Mediterranean,1274180,3452.074,348,0.943,0,16297,44.153,0,0,0
Croatia,Europe,1273508,31381.376,252,6.21,0,18230,449.218,17,0.419,0
Guatemala,Americas,1250268,6978.668,1445,8.066,0,20199,112.746,3,0.017,0
Lebanon,Eastern Mediterranean,1237556,18131.506,429,6.285,0,10914,159.902,8,0.117,0
Costa Rica,Americas,1230552,24156.331,965,18.943,0,9366,183.859,4,0.079,0
Bolivia (Plurinational State of),Americas,1197983,10262.836,333,2.853,0,22382,191.741,2,0.017,0
Tunisia,Eastern Mediterranean,1153063,9756.326,0,0,0,29407,248.819,0,0,0
Puerto Rico,Americas,1119959,39147.73,0,0,0,5915,206.757,13,0.454,0
Cuba,Americas,1113594,9831.657,194,1.713,0,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1065607,10774.153,802,8.109,0,2349,23.75,0,0,0
Ecuador,Americas,1061766,6018.04,0,0,0,36019,204.154,0,0,0
Panama,Americas,1037978,24056.409,654,15.157,0,8622,199.825,2,0.046,0
Uruguay,Americas,1037893,29878.344,0,0,0,7625,219.505,0,0,0
Mongolia,Western Pacific,1008265,30755.821,0,0,0,2136,65.156,0,0,0
Nepal,South-East Asia,1003260,3443.274,86,0.295,12,12031,41.291,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,977848,51258.626,60,3.145,0,6360,333.39,7,0.367,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0,0,9646,27.707,0,0,0
Azerbaijan,Europe,831659,8202.433,71,0.7,0,10268,101.271,8,0.079,0
Paraguay,Americas,735759,10315.529,0,0,0,19880,278.723,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672317,3139.724,85,0.397,13,16856,78.718,6,0.028,0
Kuwait,Eastern Mediterranean,665885,15592.411,34,0.796,0,2570,60.179,0,0,0
Dominican Republic,Americas,661103,6094.289,0,0,0,4384,40.413,0,0,0
Cyprus,Europe,660854,74420.076,0,0,0,1364,153.603,0,0,0
Myanmar,South-East Asia,637483,1171.633,841,1.546,0,19494,35.828,1,0.002,0
Republic of Moldova,Europe,620519,15382.367,76,1.884,0,12118,300.399,3,0.074,0
Estonia,Europe,618608,46547.718,179,13.469,0,3001,225.813,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1943.649,0,0,0,5856,20.594,0,0,0
Egypt,Eastern Mediterranean,516023,504.252,0,0,0,24830,24.264,0,0,0
Qatar,Eastern Mediterranean,510596,17722.548,202,7.011,0,690,23.95,0,0,0
Libya,Eastern Mediterranean,507253,7382.207,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,500871,435.678,18,0.016,0,7574,6.588,0,0,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,472594,4771.456,61,0.616,0,11114,112.21,2,0.02,0
Armenia,Europe,449148,15157.358,0,0,0,8749,295.252,0,0,0
Bosnia and Herzegovina,Europe,402918,12281.034,25,0.762,0,16346,498.23,6,0.183,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,348281,16717.114,0,0,0,9677,464.486,0,0,0
Zambia,Africa,343995,1871.17,84,0.457,0,4058,22.074,0,0,0
Kenya,Africa,343074,638.024,0,0,0,5688,10.578,0,0,0
Albania,Europe,334090,11609.215,0,0,0,3604,125.235,0,0,0
Botswana,Africa,329862,14026.969,0,0,0,2797,118.939,0,0,0
Luxembourg,Europe,319959,51102.845,0,0,0,1232,196.771,0,0,0
Mauritius,Africa,304233,23922.052,0,0,0,1050,82.562,0,0,0
Brunei Darussalam,Western Pacific,299505,68461.572,0,0,0,160,36.573,0,0,0
Montenegro,Europe,289292,46061.058,0,0,0,2808,447.09,0,0,0
Kosovo[1],Europe,273881,15252.335,8,0.446,0,3206,178.541,0,0,0
Algeria,Africa,271817,619.864,26,0.059,0,6881,15.692,0,0,0
Nigeria,Africa,266675,129.366,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,264848,1781.937,57,0.384,0,5690,38.283,1,0.007,0
Uzbekistan,Europe,253526,757.49,199,0.595,0,1637,4.891,0,0,0
Mozambique,Africa,233417,746.805,0,0,0,2243,7.176,0,0,0
Martinique,Americas,229900,61263.374,0,0,0,1100,293.126,0,0,0
Afghanistan,Eastern Mediterranean,218720,561.853,747,1.919,0,7908,20.314,5,0.013,0
Lao People's Democratic Republic,Western Pacific,218101,2997.721,10,0.137,0,671,9.223,0,0,0
Iceland,Europe,209191,57448.906,0,0,0,260,71.402,0,0,0
Kyrgyzstan,Europe,206888,3171.09,0,0,0,2991,45.845,0,0,0
Guadeloupe,Americas,202653,50647.549,0,0,0,1017,254.171,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Trinidad and Tobago,Americas,191496,13683.29,0,0,0,4390,313.686,0,0,0
Maldives,South-East Asia,186589,34518.744,63,11.655,0,314,58.09,0,0,0
Ghana,Africa,171653,552.42,0,0,0,1462,4.705,0,0,0
Namibia,Africa,171310,6742.086,0,0,0,4091,161.006,0,0,0
Uganda,Africa,170775,373.352,0,0,0,3632,7.94,0,0,0
Jamaica,Americas,154874,5230.168,88,2.972,0,3536,119.412,0,0,0
Cambodia,Western Pacific,138736,829.812,0,0,0,3056,18.279,0,0,0
Rwanda,Africa,133194,1028.349,0,0,0,1468,11.334,0,0,0
Cameroon,Africa,125036,471.019,0,0,0,1972,7.429,0,0,0
Malta,Europe,118631,23054.664,57,11.077,0,835,162.273,0,0,0
Barbados,Americas,107794,37509.874,228,79.339,0,593,206.351,4,1.392,0
Angola,Africa,105384,320.645,0,0,0,1934,5.884,0,0,0
French Guiana,Americas,98041,32824.542,0,0,0,413,138.274,0,0,0
Democratic Republic of the Congo,Africa,96652,107.917,0,0,0,1467,1.638,0,0,0
Senegal,Africa,88997,531.518,0,0,0,1971,11.771,0,0,0
Malawi,Africa,88638,463.347,0,0,0,2686,14.041,0,0,0
Côte d’Ivoire,Africa,88330,334.859,4,0.015,0,834,3.162,0,0,0
Suriname,Americas,82495,14062.479,0,0,0,1404,239.332,0,0,0
